word,voc_easy
ab,"<div>An ab is a stomach, or abdominal, muscle. Doing sit ups and crunches will help you tone your abs.</div>"
aback,<div>To be taken aback is to be taken by surprise. You might be taken aback when your grandmother suddenly demonstrates her yodeling skills.</div>
abacus,"<div>An abacus is an ancient tool used for calculating that remains popular in some places even today. Some sort of counter (beads, beans, stones) is moved in a groove or on a wire to represent the different numbers in the equation.</div>"
abaft,"<div>Ahoy! Abaft is a word used on boats. If something is abaft, it’s towards the rear, or stern, of a boat. Abaft means “in the back.”</div>"
abalone,<div>An abalone is a mollusk found in warm seas. Abalones have an ear-shaped shell with a pearly interior.</div>
abandon,"<div>To abandon something is to give it up completely. If you’re in a cabin and a forest fire approaches, you’d better get in your car and abandon your cabin, or else be prepared to abandon your life.</div>"
abandoned,"<div>There's nothing spookier than an abandoned house that's still full of dusty, decaying furniture. When something is abandoned, it's been cast off or deserted.</div>"
abandonment,"<div>Abandonment is the act of getting rid of something. It’s how dogs become stray and children become orphaned. If abandonment is your greatest fear in life, make sure to surround yourself with loyal friends and treat them kindly.</div>"
abase,"<div>To abase something or someone is to humiliate them — no, more than just humiliate them. If you abase another person you are bringing them low, humbling them in a mean, base manner. Not nice at all.</div>"
abasement,<div>Abasement means humiliation or disgrace. Losing an important football game because of several stupid mistakes might result in abasement for the whole team.</div>
abash,"<div>Although abash sounds like a big party or what firefighters do to get through a locked door, abash is, in fact, a verb that means you have caused another person to feel awkward, bashful, embarrassed, or ashamed.</div>"
abashed,"<div>If you feel abashed, you're embarrassed and a little uneasy. People feel abashed when they're caught in a lie, or make a mistake, or suddenly feel self-conscious for some reason.</div>"
abate,<div>Something that abates becomes fewer or less intense. Your enthusiasm for skiing might abate after falling off a ski lift and getting a mouthful of snow.</div>
abatement,"<div>An abatement is a deduction, or lessening. If you start bluntly telling people what you think of them, you might see an abatement in their friendliness toward you.</div>"
abattoir,"<div>An abattoir is a slaughterhouse, or a place where animals are killed. It's not a word you're likely to hear or use unless you're involved in these activities.</div>"
abbey,<div>An abbey is a church that's part of a monastery or convent. You'll often find monks or nuns in an abbey.</div>
abbot,"<div>An abbot is the head of a monastery. Just as businesses have bosses and teams have coaches, the monastery has an abbot.</div>"
abbreviate,"<div>To abbreviate is to shorten. Words are often abbreviated, like when we say sked instead of schedule.</div>"
abbreviated,"<div>Something that's abbreviated is shortened or condensed. An abbreviated version of your favorite novel might be a quick read, but ultimately kind of disappointing.</div>"
abbreviation,"<div>Abbreviation is the process of shortening something, usually a word or phrase, or the shortened version itself. “Mr.” is the abbreviation of “mister,” NASA is the abbreviation of National Aeronautics and Space Administration, etc. (hey, that's an abbreviation too).</div>"
abdicate,"<div>Sometimes someone in power might decide to give up that power and step down from his or her position. When they do that, they abdicate their authority, giving up all duties and perks of the job.</div>"
abdication,"<div>Abdication is the formal act of stepping down from something, especially a king giving up the throne. An abdication is a type of resignation.</div>"
abdomen,"<div>Your abdomen is the middle part of the front of your body, between your chest area and your pelvis. If the doctor asks if your abdomen hurts, the doctor wants to know if you have any pain in your belly area.</div>"
abdominal,"<div>Anything abdominal relates to the midsection of your body, just below your chest and above your pelvis. Abdominal muscles are sometimes called “abs” and they’re the muscles in your abdomen.</div>"
abduct,<div>To abduct someone is to commit the crime of kidnapping person and holding them for ransom.</div>
abduction,"<div>If you're the victim of an abduction, you've been carried away against your will — kidnapped. The word comes from Latin ab ""away"" + ducere ""lead."" Abduction is also when you move your arm or leg away from your midline.</div>"
abecedarian,"<div>Say abecedarian and you will notice something peculiar — it sounds like a-b-c-d, and that’s not a coincidence. It means either a novice — a person just learning the a-b-c's of something — or it can describe something arranged alphabetically.</div>"
abed,"<div>When you're abed, you're lying in your bed. You might be late for breakfast with your family because you lie abed long after your alarm goes off.</div>"
aberrant,<div>Use the adjective aberrant to describe unusual conduct. Sitting in a bathtub and singing show tunes all day long might be considered aberrant behavior.</div>
aberration,"<div>An aberration is something strange that rarely occurs. An example of an aberration is when the temperature hits 90 degrees in January — it's nice and warm, but it's really strange.</div>"
abet,"<div>To abet is to help someone do something, usually something wrong. If you were the lookout while your older sister swiped cookies from the cookie jar, you abetted her mischief.</div>"
abettor,"<div>An abettor is someone who helps another person commit a crime. If you drive the getaway car during a bank robbery, you're an abettor.</div>"
abeyance,"<div>An abeyance is a temporary halt to something, with the emphasis on ""temporary."" It is usually used with the word ""in"" or ""into""; ""in abeyance"" suggests a state of waiting or holding.</div>"
abhor,"<div>If you abhor something, it gives you a feeling of complete hatred. Chances are you abhor that kid who used to torture the frogs in biology class.</div>"
abhorrence,"<div>Abhorrence is a feeling of hate and disgust. If you have an abhorrence of violence, you probably won't want to watch ""The Texas Chainsaw Massacre.""</div>"
abhorrent,"<div>Many people find cruelty toward animals abhorrent, that is, they think it's detestable, obscene, repugnant, repulsive, and offensive to the mind. In other words, they really, really don't like it.</div>"
